id,prev term number,current term number,prev GPA,current GPA
4,980,990,1.75,0.666666667
16,980,990,3.14,2.9
32,920,930,2.48,2.32
43,900,920,2.24,2.88
60,890,900,1.675,2.0
68,840,860,1.5,2.675
134,860,870,3.4,2.766666667
153,780,800,3.4,3.266666667
177,900,920,3.94375,4.0
180,990,1010,2.54,2.76
192,980,990,2.792307692,3.1
211,980,990,2.883333333,2.75
229,950,960,4.0,4.0
236,860,870,3.0,1.75
276,1020,1040,3.861538462,3.6571428569999997
280,950,960,3.34,3.46
281,950,960,3.54,3.74
284,750,760,0.46153846200000004,4.0
290,1010,1020,2.66,2.74
291,900,920,3.6,2.72
300,1010,1020,2.86,2.8
330,830,840,4.0,4.0
342,1010,1020,2.63125,2.74
347,990,1010,2.375,3.31
348,930,950,2.692307692,2.6
381,900,920,2.476470588,2.152941176
411,950,960,3.1625,1.729411765
437,990,1010,2.19375,2.65
439,950,960,3.0125,2.9384615380000003
448,950,960,0.8857142859999999,0.307692308
452,810,830,2.166666667,1.2
488,840,860,1.571428571,2.0714285709999998
512,950,960,2.7769230769999997,2.2625
515,810,830,3.5333333330000003,3.4
524,920,930,2.8176470589999996,3.05625
528,920,930,2.469230769,2.0
540,840,860,1.6666666669999999,2.364285714
554,870,890,3.08,3.093333333
570,980,990,3.241176471,2.725
585,950,960,2.5,2.8125
619,870,890,3.43125,3.45
645,840,860,3.75,3.8
674,950,960,1.425,2.385714286
679,830,840,2.8461538460000004,1.153846154
698,890,900,2.621428571,2.8875
700,770,780,1.6666666669999999,2.5
702,890,900,3.075,4.0
711,840,860,3.4375,2.3625
713,870,890,2.25,2.8176470589999996
715,950,960,3.38125,2.74
733,810,830,3.2,3.0
735,1010,1040,0.74,0.825
761,980,990,3.238461538,3.06
780,860,870,3.4,2.333333333
792,1010,1020,2.325,1.7071428569999998
800,950,960,2.683333333,3.4277777780000003
825,980,990,3.052941176,2.6
836,770,780,0.833333333,0.428571429
839,890,900,3.75625,3.66
862,830,840,3.25,3.333333333
869,810,830,1.9375,1.5
875,810,830,3.1875,1.75
882,960,980,3.25,1.75
890,1010,1020,3.442857143,2.38
970,860,870,1.7,2.6
990,900,920,2.9866666669999997,2.825
1008,930,950,1.425,1.8
1051,840,860,1.5,0.25
1078,840,860,3.25,2.915384615
1103,890,900,3.733333333,4.0
1183,960,980,2.9,2.3
1186,900,920,3.333333333,2.25
1196,870,890,2.628571429,2.74375
1199,840,860,2.2,2.229411765
1225,960,980,2.226666667,2.5647058819999997
1235,840,860,1.75,3.4
1278,990,1010,1.61,2.246153846
1315,980,990,3.30625,4.0
1340,890,900,3.664705882,3.4125
1345,900,920,3.575,3.925
1378,870,890,1.35,1.825
1400,1010,1040,2.766666667,1.153846154
1423,1040,1050,2.525,2.575
1455,810,830,2.5,2.5
1496,920,930,3.373333333,3.253333333
1516,980,990,2.6625,2.670588235
1575,960,980,3.007142857,2.925
1576,950,1010,1.417647059,0.28571428600000004
1579,860,870,3.0,1.74
1604,1040,1050,3.375,3.2285714289999996
1614,830,840,2.375,3.2
1617,870,890,0.425,1.98
1623,770,780,2.636363636,0.642857143
1639,950,960,1.378571429,0.675
1640,1010,1020,2.994117647,2.2625
1691,1040,1050,3.7,3.8125
1704,840,860,3.071428571,3.8411764710000003
1724,1040,1050,1.8375,2.33125
1775,860,870,2.1615384619999998,2.35625
1825,1020,1040,2.575,3.4
1832,920,930,2.425,2.375
1833,830,840,1.9230769230000002,0.615384615
1857,920,930,2.82,2.74375
1891,830,840,1.529411765,2.4
1901,800,810,2.1875,2.0714285709999998
1904,800,810,2.153846154,3.133333333
1909,1040,1050,3.325,3.08
1930,950,960,2.0375,2.4
1954,1010,1020,3.24375,3.08
1967,950,960,3.85,3.94375
1999,920,930,3.894117647,3.86875
2018,920,930,2.425,1.853846154
2046,770,780,0.8125,1.357142857
2057,890,900,3.34,3.75625
2074,1040,1050,3.91,3.85
2097,930,950,2.60625,2.4235294119999997
2115,930,950,3.123076923,1.6230769230000002
2125,980,1010,2.30625,2.825
2130,860,870,2.521428571,2.18
2137,950,960,3.54,3.575
2145,1010,1020,2.325,2.28
2197,740,750,2.2,1.4
2208,920,930,3.4,3.26
2210,980,990,3.86,4.0
2240,930,950,2.469230769,1.7071428569999998
2255,980,990,2.566666667,2.825
2270,990,1010,2.68,2.5
2307,990,1010,3.3,3.215384615
2334,800,810,1.4,2.214285714
2346,830,840,3.6,3.571428571
2358,1010,1020,2.384615385,2.153846154
2367,990,1010,2.566666667,2.233333333
2374,950,960,2.35625,0.94
2383,980,990,1.658333333,0.5
2394,960,980,3.930769231,3.769230769
2405,810,830,3.2,2.642857143
2433,800,810,2.75,2.3125
2448,950,960,3.6307692310000004,3.2
2450,780,800,2.0,2.75
2455,950,960,1.5384615380000002,3.166666667
2456,890,930,0.930769231,0.307692308
2474,830,840,3.8125,3.8125
2492,950,960,1.230769231,1.414285714
2527,860,870,3.3692307689999996,3.00625
2545,930,950,1.207692308,3.02
2551,1010,1020,2.784615385,2.7357142860000003
2567,870,900,3.0333333330000003,3.242857143
2579,950,960,3.005882353,3.215384615
2622,750,770,1.5,0.666666667
2638,990,1010,2.757142857,2.813333333
2669,900,920,3.61875,3.464705882
2676,890,900,2.5916666669999997,1.915384615
2680,750,770,2.363636364,1.357142857
2690,1040,1050,1.486666667,2.335714286
2694,770,780,3.375,3.066666667
2736,1010,1020,2.35,3.0
2738,950,960,3.0,2.594117647
2748,870,890,2.883333333,2.5
2760,870,890,2.523076923,2.692307692
2780,860,870,2.36,3.06
2797,800,810,3.176470588,2.8125
2823,780,800,1.142857143,1.5
2828,830,840,3.375,3.25
2839,1040,1050,3.257142857,3.46
2907,980,990,2.5,1.333333333
2922,800,810,0.9375,1.8
2935,890,900,1.05625,1.453846154
2937,950,960,2.823529412,3.345454545
2966,860,870,3.673333333,3.146666667
2971,950,960,2.878571429,2.786666667
2976,900,920,1.523076923,1.6933333330000002
2979,960,980,4.0,4.0
2993,980,990,3.5125,3.176470588
3003,920,930,3.347058824,3.684210526
3014,930,950,2.95,3.193333333
3052,810,830,2.25,1.8333333330000001
3071,980,990,3.36,2.7833333330000003
3075,800,810,3.133333333,1.470588235
3092,990,1040,3.829411765,3.72
3106,980,990,1.4428571430000001,0.9285714290000001
3150,860,870,1.94,3.14
3157,830,840,3.8125,4.0
3188,870,890,1.184615385,0.475
3218,1010,1020,2.4875,1.74375
3226,990,1010,0.166666667,1.778571429
3229,920,930,3.94375,4.0
3239,900,920,3.5411764710000004,3.5625
3276,1010,1020,1.13125,0.25
3283,960,980,2.4,3.24375
3293,770,780,3.2,3.4375
3297,1020,1040,3.0,3.7
3313,890,900,1.5538461540000001,3.15
3334,920,930,2.9529411760000004,2.49375
3337,1010,1020,2.915384615,2.325
3366,840,860,0.5,2.084615385
3424,920,930,2.8,3.042857143
3460,890,900,2.326666667,0.425
3489,1020,1040,2.86,3.084615385
3551,950,960,3.24375,3.375
3564,920,930,3.588235294,3.2
3605,840,860,2.928571429,3.94375
3633,990,1010,3.416666667,3.323529412
3675,980,990,4.0,3.077777778
3680,990,1010,2.3,3.325
3700,1010,1020,4.0,3.6
3752,860,870,2.28,2.14
3780,980,990,1.375,1.607142857
3787,900,920,3.65625,3.53125
3794,1010,1020,3.235294118,3.34
3795,980,990,1.13125,1.80625
3801,890,900,1.85,2.325
3833,840,860,3.4666666669999997,3.0588235289999997
3838,1010,1020,2.63125,2.75
3856,890,900,2.858823529,2.383333333
3861,1020,1040,3.0,1.0785714290000001
3881,980,990,3.133333333,2.04375
3895,900,920,3.6,3.3058823530000003
3908,860,870,4.0,4.0
3910,920,930,3.358823529,3.361111111
3912,840,860,3.470588235,4.0
3966,980,990,1.176470588,0.986666667
3972,1040,1050,3.14,3.376923077
4013,840,860,2.5714285709999998,1.75
4017,890,900,3.6,3.164705882
4020,770,780,1.6,0.5625
4045,860,870,1.8166666669999998,1.3
4052,930,950,2.46,2.425
4076,960,980,2.61875,2.3625
4099,900,930,3.06,3.069230769
4116,830,840,2.764705882,2.230769231
4133,950,960,2.925,3.3357142860000004
4135,860,870,2.63,2.04
4141,960,980,2.94,1.9625
4193,1010,1020,1.85,3.26
4221,990,1010,1.333333333,2.54
4240,980,990,2.907692308,3.08
4260,1010,1020,3.86875,3.75
4277,900,920,3.94375,4.0
4318,770,780,0.066666667,0.428571429
4366,1020,1040,3.8875,4.0
4368,920,930,1.7615384619999999,1.925
4372,990,1010,1.7076923080000002,2.5
4392,950,960,3.764705882,3.358823529
4440,980,990,2.5461538459999997,2.323076923
4483,830,840,1.75,2.384615385
4506,860,900,0.1,2.385714286
4508,1050,1070,1.533333333,0.728571429
4522,990,1010,3.794444444,4.0
4547,990,1010,1.005555556,0.39230769200000004
4602,860,870,3.6571428569999997,2.315384615
4640,890,900,1.825,0.675
4641,870,890,2.7,3.625
4648,800,810,2.125,2.0625
4675,980,990,1.6,2.2
4678,920,950,1.26,3.14
4687,890,900,2.56,2.642857143
4698,960,980,3.123529412,3.15
4712,890,900,1.51875,2.333333333
4779,830,840,3.176470588,2.352941176
4785,960,980,3.088235294,2.54
4814,920,930,2.023076923,3.15
4831,860,870,2.325,3.24
4864,900,920,1.813333333,3.1125
4940,990,1010,2.85,2.15
4941,860,870,0.5,1.5666666669999998
4992,800,810,3.583333333,2.5
4995,1020,1040,2.470588235,2.89375
5019,900,920,3.0,2.278571429
5023,960,980,3.894117647,3.94375
5054,830,840,0.25,0.46153846200000004
5075,1020,1040,3.25,2.66
5077,840,860,2.769230769,2.8176470589999996
5083,990,1010,2.4,3.25
5086,890,900,2.875,2.393333333
5091,1010,1020,3.34,2.930769231
5108,930,950,1.315384615,1.684615385
5133,1040,1050,3.930769231,3.925
5142,800,810,2.933333333,2.875
5148,990,1010,1.68,0.7142857140000001
5173,860,890,0.675,3.175
5174,990,1010,1.642857143,0.7615384620000001
5215,840,860,0.75,2.0
5223,770,780,1.875,0.076923077
5252,1040,1050,2.769230769,0.185714286
5278,960,980,2.078571429,2.7
5291,1040,1050,1.91875,1.80625
5299,870,890,3.68,3.82
5341,780,800,2.833333333,2.933333333
5357,980,990,2.7769230769999997,2.25
5370,780,800,2.4666666669999997,2.3125
5372,830,840,2.25,0.2
5435,890,900,3.13125,3.5
